gene_id,3-9-mock1-13_S20,3-9-mock2-14_S1,3-9-wt1-15_S2,3-9-wt2-16_S16,CoV002-CoV2-1-indexG4_S4,CoV002-CoV2-2-indexG5_S5,CoV002-CoV2-3-indexG6_S6,CoV002-mock1-indexG1_S1,CoV002-mock2-indexG2_S2,CoV002-mock3-indexG3_S3,SARS004-CoV2-1_S4,SARS004-CoV2-2_S5,SARS004-CoV2-3_S6,SARS004-mock-1_S1,SARS004-mock-2_S2,SARS004-mock-3_S3,svRNA184-RSV-1-indexF4_S16,svRNA184-RSV-3-indexH9_S18,svRNA184-mock-1-indexF1_S13,svRNA184-mock-3-indexF3_S15
ENSG00000229982.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276203.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.16343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271251.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230412.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.16344,113,242,47,25,471,680,661,321,379,722,394,137,313,200,204,136,178,207,554,845
ENSG00000201075.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.32677,2075,3533,2734,877,9529,12381,12251,5127,7190,11956,9199,2998,3819,4469,3509,3400,2660,3547,9199,11464
MSTRG.7587,84,162,74,53,316,348,400,134,234,404,0,0,0,0,0,0,86,90,357,494
MSTRG.7586,6,13,4,0,56,42,51,16,41,31,0,0,0,5,0,0,7,7,44,77
MSTRG.7585,332,645,534,160,1205,1587,1829,806,950,1662,8309,3041,2866,4242,3209,3502,827,1381,3294,3458
MSTRG.7584,2360,5351,2989,718,8352,13416,14626,4690,7252,12253,5085,1678,1971,2193,1548,1813,3974,5693,18276,22918
MSTRG.7583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271395.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MSTRG.7581,384,798,584,128,1286,1628,2152,678,937,1679,4763,1701,1546,2365,1685,1845,333,543,1691,2151
MSTRG.7580,338,594,265,104,1323,1612,1772,715,1015,1656,719,251,370,476,367,297,363,590,1495,1946
MSTRG.32675,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,4
MSTRG.7589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.7588,0,0,0,0,19,9,23,7,6,22,0,0,0,0,0,0,0,7,14,16
MSTRG.19366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000272551.1,2,0,3,0,5,1,5,1,0,5,0,2,0,0,0,0,3,8,8,20
ENSG00000275489.1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.6188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18619,895,1568,777,274,4323,5536,5695,2198,3034,5027,2825,902,1127,1318,940,1005,805,1236,2802,3503
ENSG00000146839.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MSTRG.18610,259,474,576,127,985,1407,2175,484,626,1513,647,205,206,417,185,228,215,404,1142,1255
MSTRG.18611,251,523,708,154,727,1001,1629,309,559,958,127,53,41,95,46,50,193,365,913,983
MSTRG.18612,0,10,10,0,7,19,18,0,12,14,0,0,0,0,0,6,11,39,81,115
MSTRG.6183,0,4,0,0,0,10,7,0,0,0,20,3,0,8,0,7,0,0,0,5
MSTRG.18614,331,747,764,143,1545,2130,3292,765,940,1874,608,241,236,499,248,251,69,168,465,447
MSTRG.18615,16,19,33,12,41,31,53,7,11,29,18,0,0,0,3,8,4,14,31,44
MSTRG.18616,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18617,1976,4358,4331,861,7819,10012,14236,3523,4760,8669,8135,2831,2625,4408,2684,3059,881,1548,4966,3843
MSTRG.17101,5,4,12,0,23,22,19,14,18,30,0,0,0,0,0,0,3,0,4,10
ENSG00000241220.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.27947,43,140,105,20,160,172,217,76,98,156,243,75,87,118,123,122,42,73,290,248
ENSG00000226530.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
MSTRG.14309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182938.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
